Specialty,CPT Code,PPL?,decision by ROI,decision source,clinical reason,final decision,new rate
CARDIOLOGY,85027,0,1,rule,Pend EPL,0,
DERMATOLOGY,85027,0,1,rule,Pend EPL,0,0
EMERGENCY SERVICES,85027,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85027,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85027,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,85027,1,1,rule,low volume,0,
GASTROENTEROLOGY,85027,1,1,rule,low volume,0,
HEMATOLOGY/ONCOLOGY,85027,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,85027,1,1,rule,low volume,0,
HOME HEALTH,85027,0,1,rule,Pend EPL,0,
LABORATORY,85027,0,1,rule,Pend EPL,0,0
LABORATORY,85027,1,1,rule,low volume,0,0
PATHOLOGY,85027,0,1,rule,Pend EPL,0,
RADIOLOGY_b,85027,0,1,rule,Pend EPL,0,
RADIOLOGY_s,85027,1,1,rule,low volume,0,
SURGERY - GENERAL,85027,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,85027,0,1,rule,Pend EPL,0,
CARDIOLOGY,85385,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85385,0,1,rule,Pend EPL,0,0
LABORATORY,85385,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,85385,0,1,rule,Pend EPL,0,
CARDIOLOGY,85576,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85576,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85576,1,1,rule,Hard Pend Specialty,0,0
INTERVENTIONAL RADIOLOGY,85576,0,1,rule,Pend EPL,0,0
INTERVENTIONAL RADIOLOGY,85576,1,1,rule,low volume,0,
LABORATORY,85576,0,1,rule,Pend EPL,0,
LABORATORY,85576,1,1,rule,low volume,0,
NEPHROLOGY,85576,1,1,rule,low volume,0,
PATHOLOGY,85576,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,85576,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,85576,1,1,rule,low volume,0,
CARDIOLOGY,85610,0,1,rule,Pend EPL,0,0
CARDIOLOGY,85610,1,1,clinical,inappropriate loc,0,0
COUMADIN NURSE,85610,0,1,rule,Pend EPL,0,
DIALYSIS,85610,1,1,rule,low volume,0,
EMERGENCY SERVICES,85610,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85610,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85610,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,85610,1,1,rule,low volume,0,
GASTROENTEROLOGY,85610,0,1,rule,Pend EPL,0,
GENERAL PRACTICE,85610,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85610,0,1,rule,Pend EPL,0,0
HOME HEALTH,85610,0,1,rule,Pend EPL,0,0
INTERNAL MEDICINE,85610,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,85610,1,1,rule,low volume,0,
INTERVENTIONAL RADIOLOGY,85610,1,1,rule,low volume,0,
LABORATORY,85610,0,1,rule,Pend EPL,0,0
LABORATORY,85610,1,1,DBA,,1,0.11
NEPHROLOGY,85610,0,1,rule,Pend EPL,0,
ONCOLOGY - MEDICAL,85610,0,1,rule,Pend EPL,0,
PATHOLOGY,85610,0,1,rule,Pend EPL,0,
PATHOLOGY,85610,1,1,rule,Hard Pend Specialty,0,
PHARMACY,85610,0,1,rule,Pend EPL,0,0
PHARMACY,85610,1,1,rule,Hard Pend Specialty,0,0
PHYSICAL THERAPY/REHAB,85610,1,1,rule,low volume,0,
PULMONARY DISEASE,85610,0,1,rule,Pend EPL,0,0
RADIOLOGY_b,85610,0,1,rule,Pend EPL,0,
RADIOLOGY_b,85610,1,1,rule,low volume,0,
RADIOLOGY_s,85610,1,1,rule,low volume,0,
SURGERY - GENERAL,85610,0,1,rule,Pend EPL,0,0
SURGERY - NEURO,85610,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,85610,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,85610,0,1,rule,Pend EPL,0,
CARDIOLOGY,85611,1,1,rule,low volume,0,
FACILITY SERVICES,85611,0,1,rule,Pend EPL,0,
CARDIOLOGY,85730,0,1,rule,Pend EPL,0,0
CARDIOLOGY,85730,1,1,rule,low volume,0,0
DIALYSIS,85730,1,1,rule,low volume,0,
FACILITY SERVICES,85730,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85730,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,85730,1,1,rule,low volume,0,
HEMATOLOGY/ONCOLOGY,85730,0,1,rule,Pend EPL,0,0
HOME HEALTH,85730,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,85730,0,1,rule,Pend EPL,0,
INTERVENTIONAL RADIOLOGY,85730,1,1,rule,low volume,0,
LABORATORY,85730,0,1,rule,Pend EPL,0,
LABORATORY,85730,1,1,rule,low volume,0,0
ONCOLOGY - MEDICAL,85730,0,1,rule,Pend EPL,0,
PATHOLOGY,85730,0,1,rule,Pend EPL,0,
PATHOLOGY,85730,1,1,rule,Hard Pend Specialty,0,
RADIOLOGY_b,85730,0,1,rule,Pend EPL,0,
RADIOLOGY_b,85730,1,1,rule,low volume,0,
RADIOLOGY_s,85730,1,1,rule,low volume,0,
SURGERY - GENERAL,85730,0,1,rule,Pend EPL,0,
SURGERY - NEURO,85730,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,85730,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,85730,0,1,rule,Pend EPL,0,
CARDIOLOGY,86352,0,1,rule,Pend EPL,0,0
CARDIOLOGY,86352,1,1,rule,low volume,0,
FACILITY SERVICES,86352,0,1,rule,Pend EPL,0,0
GASTROENTEROLOGY,86352,0,1,rule,Pend EPL,0,
LABORATORY,86352,0,0,rule,Pend EPL,0,
LABORATORY,86352,1,1,rule,low volume,0,0
SURGERY - GENERAL,86352,0,1,rule,Pend EPL,0,0
CARDIOLOGY,86359,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86359,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86359,0,1,rule,Pend EPL,0,0
LABORATORY,86359,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86359,0,1,rule,Pend EPL,0,
CARDIOLOGY,86644,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86644,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,86644,0,1,rule,Pend EPL,0,0
LABORATORY,86644,1,1,rule,low volume,0,0
SURGERY - GENERAL,86644,0,1,rule,Pend EPL,0,0
CARDIOLOGY,86645,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86645,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86645,0,1,rule,Pend EPL,0,0
LABORATORY,86645,1,1,rule,low volume,0,0
PATHOLOGY,86645,1,1,rule,Hard Pend Specialty,0,
SURGERY - GENERAL,86645,0,1,rule,Pend EPL,0,0
CARDIOLOGY,86664,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86664,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86664,0,1,rule,Pend EPL,0,
LABORATORY,86664,1,1,rule,low volume,0,
SURGERY - GENERAL,86664,0,1,rule,Pend EPL,0,
CARDIOLOGY,86665,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86665,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86665,0,1,rule,Pend EPL,0,
LABORATORY,86665,1,1,rule,low volume,0,
SURGERY - GENERAL,86665,0,1,rule,Pend EPL,0,
CARDIOLOGY,86704,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86704,0,1,rule,Pend EPL,0,
FAMILY PRACTICE,86704,1,1,rule,low volume,0,
GASTROENTEROLOGY,86704,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86704,0,0,rule,Pend EPL,0,
LABORATORY,86704,0,1,rule,Pend EPL,0,
LABORATORY,86704,1,1,rule,low volume,0,
ONCOLOGY - MEDICAL,86704,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86704,0,1,rule,Pend EPL,0,
CARDIOLOGY,86762,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86762,0,1,rule,Pend EPL,0,
LABORATORY,86762,0,1,rule,Pend EPL,0,
LABORATORY,86762,1,1,rule,low volume,0,0
PATHOLOGY,86762,1,1,rule,Hard Pend Specialty,0,
PHARMACY,86762,1,1,rule,Hard Pend Specialty,0,
CARDIOLOGY,86787,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86787,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86787,0,1,rule,Pend EPL,0,
LABORATORY,86787,0,1,rule,Pend EPL,0,
LABORATORY,86787,1,1,rule,low volume,0,
SURGERY - GENERAL,86787,0,1,rule,Pend EPL,0,
CARDIOLOGY,86807,0,0,rule,Pend EPL,0,
FACILITY SERVICES,86807,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,86807,1,1,rule,Hard Pend Specialty,0,0
HEMATOLOGY/ONCOLOGY,86807,0,1,rule,Pend EPL,0,0
HEPATOLOGY,86807,0,1,rule,Pend EPL,0,
LABORATORY,86807,0,1,rule,Pend EPL,0,
LABORATORY,86807,1,1,rule,low volume,0,
NEPHROLOGY,86807,0,1,rule,Pend EPL,0,0
SURGERY - GENERAL,86807,0,0,rule,Pend EPL,0,0
SURGERY - ONCOLOGY,86807,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,86807,0,1,rule,Pend EPL,0,
CARDIOLOGY,86828,0,0,rule,Pend EPL,0,
FACILITY SERVICES,86828,0,0,rule,Pend EPL,0,0
SURGERY - CARDIAC,86828,0,0,rule,Pend EPL,0,
SURGERY - GENERAL,86828,0,0,rule,Pend EPL,0,
CARDIOLOGY,86830,0,1,rule,Pend EPL,0,0
CARDIOLOGY,86830,1,1,rule,low volume,0,
FACILITY SERVICES,86830,0,1,rule,Pend EPL,0,0
LABORATORY,86830,1,1,rule,low volume,0,0
SURGERY - GENERAL,86830,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,86830,0,1,rule,Pend EPL,0,
CARDIOLOGY,86831,0,1,rule,Pend EPL,0,0
CARDIOLOGY,86831,1,1,rule,low volume,0,
FACILITY SERVICES,86831,0,1,rule,Pend EPL,0,0
LABORATORY,86831,1,1,rule,low volume,0,0
SURGERY - GENERAL,86831,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,86831,0,1,rule,Pend EPL,0,
CARDIOLOGY,86832,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,86832,0,1,rule,Pend EPL,0,0
LABORATORY,86832,1,0,rule,low volume,0,0
NEPHROLOGY,86832,0,0,rule,Pend EPL,0,0
PULMONARY DISEASE,86832,0,1,rule,Pend EPL,0,0
SURGERY - GENERAL,86832,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,86832,0,1,rule,Pend EPL,0,
CARDIOLOGY,86849,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86849,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86849,0,1,rule,Pend EPL,0,0
CARDIOLOGY,87088,0,1,rule,Pend EPL,0,
CUSTODIAL CARE,87088,1,1,rule,Hard Pend Specialty,0,
EMERGENCY SERVICES,87088,0,1,rule,Pend EPL,0,
FACILITY SERVICES,87088,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,87088,0,0,rule,Pend EPL,0,
INTERNAL MEDICINE,87088,0,1,rule,Pend EPL,0,
LABORATORY,87088,0,1,rule,Pend EPL,0,
LABORATORY,87088,1,1,rule,low volume,0,
NEPHROLOGY,87088,0,1,rule,Pend EPL,0,0
NURSE PRACTITIONER,87088,0,1,rule,Pend EPL,0,
OBSTETRICS/GYNECOLOGY,87088,0,1,rule,Pend EPL,0,
PATHOLOGY,87088,0,1,rule,Pend EPL,0,
PATHOLOGY,87088,1,1,rule,Hard Pend Specialty,0,
SURGERY - GENERAL,87088,0,1,rule,Pend EPL,0,
UROLOGY,87088,0,1,rule,Pend EPL,0,
CARDIOLOGY,87340,0,1,rule,Pend EPL,0,
FACILITY SERVICES,87340,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,87340,0,1,rule,Pend EPL,0,
LABORATORY,87340,0,1,rule,Pend EPL,0,
LABORATORY,87340,1,1,rule,low volume,0,
NEPHROLOGY,87340,0,1,rule,Pend EPL,0,
ONCOLOGY - MEDICAL,87340,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,87340,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,87340,0,1,rule,Pend EPL,0,
CARDIOLOGY,87389,0,1,rule,Pend EPL,0,
EMERGENCY SERVICES,87389,0,1,rule,Pend EPL,0,
FACILITY SERVICES,87389,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,87389,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,87389,0,1,rule,Pend EPL,0,
LABORATORY,87389,0,1,rule,Pend EPL,0,
LABORATORY,87389,1,1,rule,low volume,0,0
NON-CONTRACT UNKWN BILL AREA,87389,0,1,rule,Pend EPL,0,
ONCOLOGY - MEDICAL,87389,0,1,rule,Pend EPL,0,
PATHOLOGY,87389,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,87389,0,1,rule,Pend EPL,0,
CARDIOLOGY,87496,0,1,rule,Pend EPL,0,0
CARDIOLOGY,87496,1,1,rule,low volume,0,
FACILITY SERVICES,87496,0,1,rule,Pend EPL,0,0
GENETICS,87496,1,1,rule,low volume,0,
HEMATOLOGY/ONCOLOGY,87496,0,1,rule,Pend EPL,0,
LABORATORY,87496,1,1,rule,low volume,0,0
SURGERY - GENERAL,87496,0,1,rule,Pend EPL,0,0
CARDIOLOGY,87497,0,0,rule,Pend EPL,0,
FACILITY SERVICES,87497,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,87497,0,1,rule,Pend EPL,0,0
LABORATORY,87497,1,1,rule,low volume,0,0
NEPHROLOGY,87497,0,1,rule,Pend EPL,0,
ONCOLOGY - MEDICAL,87497,0,1,rule,Pend EPL,0,0
PULMONARY DISEASE,87497,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,87497,0,1,rule,Pend EPL,0,0
CARDIOLOGY,87799,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,87799,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,87799,0,1,rule,Pend EPL,0,0
LABORATORY,87799,0,1,rule,Pend EPL,0,
LABORATORY,87799,1,0,rule,low volume,0,0
NEPHROLOGY,87799,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,87799,0,1,rule,Pend EPL,0,0
SURGERY - GENERAL,87799,0,1,rule,Pend EPL,0,0
CARDIOLOGY,88189,0,1,rule,Pend EPL,0,
FACILITY SERVICES,88189,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,88189,1,1,rule,Hard Pend Specialty,0,0
GENETICS,88189,0,1,rule,Pend EPL,0,
GENETICS,88189,1,1,rule,low volume,0,
INTERVENTIONAL RADIOLOGY,88189,1,1,rule,low volume,0,
LABORATORY,88189,0,1,rule,Pend EPL,0,0
LABORATORY,88189,1,1,DBA,,1,0
NEPHROLOGY,88189,0,1,rule,Pend EPL,0,
OPHTHALMOLOGY,88189,0,1,rule,Pend EPL,0,
PATHOLOGY,88189,0,1,rule,Pend EPL,0,
PATHOLOGY,88189,1,1,rule,Hard Pend Specialty,0,0
RADIOLOGY_b,88189,0,1,rule,Pend EPL,0,0
RADIOLOGY_s,88189,0,1,rule,Pend EPL,0,0
SURGERY - GENERAL,88189,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,88189,0,1,rule,Pend EPL,0,
CARDIOLOGY,88321,0,1,rule,Pend EPL,0,
DERMATOLOGY,88321,0,1,rule,Pend EPL,0,0
ENT-OTOLARYNGOLOGY,88321,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,88321,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,88321,1,1,rule,Hard Pend Specialty,0,0
GENETICS,88321,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,88321,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,88321,1,1,rule,low volume,0,0
INTERNAL MEDICINE,88321,1,1,rule,low volume,0,
LABORATORY,88321,0,1,rule,Pend EPL,0,0
LABORATORY,88321,1,1,rule,low volume,0,
ONCOLOGY - MEDICAL,88321,0,1,rule,Pend EPL,0,
PATHOLOGY,88321,0,1,rule,Pend EPL,0,0
PATHOLOGY,88321,1,1,rule,Hard Pend Specialty,0,0
PULMONARY DISEASE,88321,1,1,rule,low volume,0,
SURGERY - GENERAL,88321,0,1,rule,Pend EPL,0,0
SURGERY - GENERAL,88321,1,1,rule,low volume,0,
SURGERY - ONCOLOGY,88321,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,88321,0,1,rule,Pend EPL,0,0
UROLOGY,88321,0,1,rule,Pend EPL,0,0
CARDIOLOGY,89230,1,1,rule,low volume,0,
FACILITY SERVICES,89230,0,1,rule,Pend EPL,0,0
GASTROENTEROLOGY,89230,1,1,rule,low volume,0,
LABORATORY,89230,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,89230,0,0,rule,Pend EPL,0,
PULMONARY DISEASE,89230,1,1,rule,low volume,0,
CARDIOLOGY,90715,0,1,rule,Pend EPL,0,
DME & MEDICAL SUPPLIES,90715,0,1,rule,Pend EPL,0,
FACILITY SERVICES,90715,0,1,rule,Pend EPL,0,
FACILITY SERVICES,90715,1,1,rule,Hard Pend Specialty,0,
FAMILY PRACTICE,90715,0,1,rule,Pend EPL,0,0
FAMILY PRACTICE,90715,1,1,clinical,bene check,0,0
GENERAL PRACTICE,90715,0,1,rule,Pend EPL,0,
GENERAL PRACTICE,90715,1,1,rule,low volume,0,0
HOME HEALTH,90715,1,1,rule,Hard Pend Specialty,0,0
HOSPITALIST,90715,0,1,rule,Pend EPL,0,
INFECTIOUS DISEASE,90715,1,1,rule,low volume,0,0
INTERNAL MEDICINE,90715,0,1,rule,Pend EPL,0,0
INTERNAL MEDICINE,90715,1,1,clinical,guideline req,0,0
OBSTETRICS/GYNECOLOGY,90715,0,1,rule,Pend EPL,0,
OBSTETRICS/GYNECOLOGY,90715,1,1,rule,low volume,0,0
PEDIATRICS,90715,0,1,rule,Pend EPL,0,
PEDIATRICS,90715,1,1,rule,low volume,0,0
PHARMACY,90715,0,1,rule,Pend EPL,0,0
PHARMACY,90715,1,0,rule,Hard Pend Specialty,0,0
REGISTERED NURSE,90715,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,90715,0,1,rule,Pend EPL,0,
URGENT/IMMEDIATE CARE,90715,1,1,rule,low volume,0,0
UROLOGY,90715,0,1,rule,Pend EPL,0,
CARDIOLOGY,92145,0,0,rule,Pend EPL,0,
ENDOCRINOLOGY,92145,1,0,rule,low volume,0,
NEUROLOGY,92145,1,0,rule,low volume,0,
OPHTHALMOLOGY,92145,1,0,rule,low volume,0,0
PULMONARY DISEASE,92145,1,0,rule,low volume,0,
RHEUMATOLOGY,92145,1,0,rule,low volume,0,
CARDIOLOGY,92242,1,1,rule,low volume,0,
OPHTHALMOLOGY,92242,0,0,rule,Pend EPL,0,0
OPHTHALMOLOGY,92242,1,1,rule,low volume,0,
UNK PHYS SPEC,92242,0,1,rule,Pend EPL,0,
CARDIOLOGY,92325,1,0,rule,low volume,0,
OPTOMETRY,92325,0,0,rule,Pend EPL,0,
OPTOMETRY,92325,1,0,rule,Hard Pend Specialty,0,0
CARDIOLOGY,92371,0,0,rule,Pend EPL,0,
CARDIOLOGY,92920,0,1,rule,Pend EPL,0,
CARDIOLOGY,92920,1,1,DBA,,1,0.87
FACILITY SERVICES,92920,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,92920,1,1,rule,Hard Pend Specialty,0,0
UNK PHYS SPEC,92920,1,1,rule,low volume,0,
CARDIOLOGY,92921,1,1,rule,low volume,0,
FACILITY SERVICES,92921,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,92921,1,1,rule,Hard Pend Specialty,0,0
CARDIOLOGY,92924,0,1,rule,Pend EPL,0,
CARDIOLOGY,92924,1,1,rule,low volume,0,0
FACILITY SERVICES,92924,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,92924,1,1,rule,Hard Pend Specialty,0,0
CARDIOLOGY,92925,0,0,rule,Pend EPL,0,
CARDIOLOGY,92925,1,0,rule,low volume,0,
FACILITY SERVICES,92925,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,92925,1,0,rule,Hard Pend Specialty,0,0
RADIOLOGY_b,92925,1,0,rule,low volume,0,
CARDIOLOGY,92933,0,1,rule,Pend EPL,0,
FACILITY SERVICES,92933,0,1,rule,Pend EPL,0,
FACILITY SERVICES,92933,1,1,rule,Hard Pend Specialty,0,0
CARDIOLOGY,92934,1,0,rule,low volume,0,
FACILITY SERVICES,92934,1,0,rule,Hard Pend Specialty,0,0
CARDIOLOGY,92941,0,1,rule,Pend EPL,0,
FACILITY SERVICES,92941,0,1,rule,Pend EPL,0,
CARDIOLOGY,92943,0,1,rule,Pend EPL,0,
CARDIOLOGY,92943,1,1,rule,low volume,0,
FACILITY SERVICES,92943,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,92943,1,1,rule,Hard Pend Specialty,0,0
CARDIOLOGY,92960,0,1,rule,Pend EPL,0,0
CARDIOLOGY,92960,1,1,clinical,guideline req,0,0
FACILITY SERVICES,92960,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,92960,1,1,rule,Hard Pend Specialty,0,0
INTERNAL MEDICINE,92960,0,1,rule,Pend EPL,0,
PHYSICAL THERAPY/REHAB,92960,0,1,rule,Pend EPL,0,
CARDIOLOGY,92961,1,1,rule,low volume,0,
FACILITY SERVICES,92961,0,1,rule,Pend EPL,0,
FACILITY SERVICES,92961,1,1,rule,Hard Pend Specialty,0,0
CARDIOLOGY,92971,0,1,rule,Pend EPL,0,0
CARDIOLOGY,92971,1,1,rule,low volume,0,
FACILITY SERVICES,92971,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,92971,0,1,rule,Pend EPL,0,
CARDIOLOGY,92978,0,1,rule,Pend EPL,0,
FACILITY SERVICES,92978,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,92978,1,0,rule,Hard Pend Specialty,0,0
RADIOLOGY_s,92978,1,1,rule,low volume,0,0
SURGERY - GENERAL,92978,0,1,rule,Pend EPL,0,0
SURGERY - VASCULAR,92978,1,1,rule,low volume,0,
CARDIOLOGY,92997,0,1,rule,Pend EPL,0,
FACILITY SERVICES,92997,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,92997,0,1,rule,Pend EPL,0,0
CARDIOLOGY,93010,0,1,rule,Pend EPL,0,0
CARDIOLOGY,93010,1,1,DBA,,1,0.95
ENT-OTOLARYNGOLOGY,93010,0,1,rule,Pend EPL,0,
FACILITY SERVICES,93010,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,93010,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,93010,0,1,rule,Pend EPL,0,
FAMILY PRACTICE,93010,1,1,rule,low volume,0,0
HEMATOLOGY/ONCOLOGY,93010,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,93010,1,1,rule,low volume,0,
HOSPITALIST,93010,0,1,rule,Pend EPL,0,0
INTERNAL MEDICINE,93010,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,93010,1,1,rule,low volume,0,
INTERVENTIONAL RADIOLOGY,93010,0,1,rule,Pend EPL,0,
LABORATORY,93010,0,1,rule,Pend EPL,0,
LABORATORY,93010,1,1,rule,low volume,0,
NEUROLOGY,93010,0,1,rule,Pend EPL,0,
ONCOLOGY - GYN,93010,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,93010,1,1,rule,low volume,0,
RADIOLOGY_b,93010,1,1,rule,low volume,0,
RADIOLOGY_s,93010,0,1,rule,Pend EPL,0,
RADIOLOGY_s,93010,1,1,rule,low volume,0,
SURGERY - CARDIAC,93010,0,1,rule,Pend EPL,0,0
SURGERY - CARDIAC,93010,1,1,rule,low volume,0,
SURGERY - GENERAL,93010,0,1,rule,Pend EPL,0,0
SURGERY - ONCOLOGY,93010,1,1,rule,low volume,0,
SURGERY - THORACIC,93010,0,1,rule,Pend EPL,0,0
SURGERY - VASCULAR,93010,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,93010,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,93010,1,1,rule,low volume,0,
UROLOGY,93010,0,1,rule,Pend EPL,0,
CARDIOLOGY,93015,0,1,rule,Pend EPL,0,0
CARDIOLOGY,93015,1,1,DBA,,1,0.98
FACILITY SERVICES,93015,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,93015,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,93015,1,1,rule,low volume,0,
HEMATOLOGY/ONCOLOGY,93015,0,1,rule,Pend EPL,0,
HOSPITALIST,93015,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,93015,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,93015,1,1,rule,low volume,0,0
NUCLEAR MEDICINE,93015,0,1,rule,Pend EPL,0,0
NUCLEAR MEDICINE,93015,1,1,rule,Hard Pend Specialty,0,0
PULMONARY DISEASE,93015,0,1,rule,Pend EPL,0,0
PULMONARY DISEASE,93015,1,1,rule,low volume,0,0
RADIOLOGY_b,93015,1,1,rule,low volume,0,0
RADIOLOGY_s,93015,0,1,rule,Pend EPL,0,0
RADIOLOGY_s,93015,1,1,rule,low volume,0,0
SURGERY - GENERAL,93015,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,93015,0,1,rule,Pend EPL,0,
UROLOGY,93015,1,1,rule,low volume,0,
CARDIOLOGY,93016,0,1,rule,Pend EPL,0,0
CARDIOLOGY,93016,1,1,DBA,,1,0.87
FACILITY SERVICES,93016,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,93016,1,1,rule,Hard Pend Specialty,0,0
HOSPITALIST,93016,0,1,rule,Pend EPL,0,
NUCLEAR MEDICINE,93016,0,1,rule,Pend EPL,0,
NUCLEAR MEDICINE,93016,1,1,rule,Hard Pend Specialty,0,0
RADIOLOGY_s,93016,0,1,rule,Pend EPL,0,
SLEEP STUDY,93016,0,1,rule,Pend EPL,0,
CARDIOLOGY,93017,0,1,rule,Pend EPL,0,0
CARDIOLOGY,93017,1,1,DBA,,1,0.92
FACILITY SERVICES,93017,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,93017,1,1,rule,Hard Pend Specialty,0,0
NUCLEAR MEDICINE,93017,0,1,rule,Pend EPL,0,
NUCLEAR MEDICINE,93017,1,1,rule,Hard Pend Specialty,0,0
PHYSICAL THERAPY/REHAB,93017,1,1,rule,low volume,0,
PULMONARY DISEASE,93017,0,1,rule,Pend EPL,0,
RADIOLOGY_b,93017,1,1,rule,low volume,0,
RADIOLOGY_s,93017,0,1,rule,Pend EPL,0,
SURGERY - CARDIAC,93017,1,1,rule,low volume,0,
SURGERY - GENERAL,93017,0,1,rule,Pend EPL,0,
CARDIOLOGY,93018,0,1,rule,Pend EPL,0,0
CARDIOLOGY,93018,1,1,DBA,,1,0.96
FACILITY SERVICES,93018,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,93018,1,1,rule,Hard Pend Specialty,0,0
HOSPITALIST,93018,0,1,rule,Pend EPL,0,
NUCLEAR MEDICINE,93018,0,1,rule,Pend EPL,0,
NUCLEAR MEDICINE,93018,1,1,rule,Hard Pend Specialty,0,0
PULMONARY DISEASE,93018,0,1,rule,Pend EPL,0,
